Year,Rank,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2001,7,Let Me Blow Ya Mind,Eve featuring Gwen Stefani,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,audio_features,3RmKpob8xzv1pzHEQrMJah,spotify:track:3RmKpob8xzv1pzHEQrMJah,https://api.spotify.com/v1/tracks/3RmKpob8xzv1pzHEQrMJah,https://api.spotify.com/v1/audio-analysis/3RmKpob8xzv1pzHEQrMJah,230133,4
2001,8,Thank You,Dido,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,audio_features,3yUcJwYu7fXAfqMj9krY6l,spotify:track:3yUcJwYu7fXAfqMj9krY6l,https://api.spotify.com/v1/tracks/3yUcJwYu7fXAfqMj9krY6l,https://api.spotify.com/v1/audio-analysis/3yUcJwYu7fXAfqMj9krY6l,218360,4
2001,9,Again,Lenny Kravitz,0.55,0.804,2,-5.218,1,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,audio_features,5c1QJAiC3773EwiZLwHf5x,spotify:track:5c1QJAiC3773EwiZLwHf5x,https://api.spotify.com/v1/tracks/5c1QJAiC3773EwiZLwHf5x,https://api.spotify.com/v1/audio-analysis/5c1QJAiC3773EwiZLwHf5x,231667,4
2001,10,Independent Women Part I,Destiny's Child,0.791,0.356,6,-12.6,0,0.108,0.874,2.87e-05,0.317,0.577,91.933,audio_features,7rESdMWQMkNJffccsUr0Ii,spotify:track:7rESdMWQMkNJffccsUr0Ii,https://api.spotify.com/v1/tracks/7rESdMWQMkNJffccsUr0Ii,https://api.spotify.com/v1/audio-analysis/7rESdMWQMkNJffccsUr0Ii,160533,4
2001,11,Hit 'Em Up Style (Oops!),Blu Cantrell,0.667,0.773,5,-4.983,0,0.0586,0.201,0.0,0.404,0.667,89.976,audio_features,4zYTZvtcww7OWKie7fxA9E,spotify:track:4zYTZvtcww7OWKie7fxA9E,https://api.spotify.com/v1/tracks/4zYTZvtcww7OWKie7fxA9E,https://api.spotify.com/v1/audio-analysis/4zYTZvtcww7OWKie7fxA9E,250707,4
2001,12,It Wasn't Me,Shaggy featuring Rikrok,0.853,0.606,0,-4.596,1,0.072,0.0561,0.0,0.313,0.653,94.753,audio_features,3WkibOpDF7cQ5xntM1epyf,spotify:track:3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/tracks/3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/audio-analysis/3WkibOpDF7cQ5xntM1epyf,227600,4
2001,13,Stutter,Joe featuring Mystikal,0.8,0.685,8,-5.423,0,0.411,0.0438,0.0,0.104,0.648,130.683,audio_features,2SjyFlZqCZOOyoafhAoOSr,spotify:track:2SjyFlZqCZOOyoafhAoOSr,https://api.spotify.com/v1/tracks/2SjyFlZqCZOOyoafhAoOSr,https://api.spotify.com/v1/audio-analysis/2SjyFlZqCZOOyoafhAoOSr,137195,5
2001,14,It's Been Awhile,Staind,0.425,0.814,6,-5.105,1,0.0453,0.00112,0.0499,0.727,0.078,119.582,audio_features,6voiazWpdz7U8woo8O44HR,spotify:track:6voiazWpdz7U8woo8O44HR,https://api.spotify.com/v1/tracks/6voiazWpdz7U8woo8O44HR,https://api.spotify.com/v1/audio-analysis/6voiazWpdz7U8woo8O44HR,267347,4
2001,15,U Remind Me,Usher,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,audio_features,2QsZVnbWVSjKMXK6K3uRBL,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,https://api.spotify.com/v1/tracks/2QsZVnbWVSjKMXK6K3uRBL,https://api.spotify.com/v1/audio-analysis/2QsZVnbWVSjKMXK6K3uRBL,266893,4
2001,16,Where the Party At,Jagged Edge with Nelly,0.596,0.661,5,-6.239,0,0.226,0.31,0.0,0.0847,0.86,129.491,audio_features,5mNV8Mz59bzyuQ53gTw0c0,spotify:track:5mNV8Mz59bzyuQ53gTw0c0,https://api.spotify.com/v1/tracks/5mNV8Mz59bzyuQ53gTw0c0,https://api.spotify.com/v1/audio-analysis/5mNV8Mz59bzyuQ53gTw0c0,232573,5
2001,17,Angel,Shaggy featuring Rayvon,0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,audio_features,7FDV5ELOJHCGLe52AnttEd,spotify:track:7FDV5ELOJHCGLe52AnttEd,https://api.spotify.com/v1/tracks/7FDV5ELOJHCGLe52AnttEd,https://api.spotify.com/v1/audio-analysis/7FDV5ELOJHCGLe52AnttEd,235133,4
2001,18,Ride wit Me,Nelly featuring City Spud,0.85,0.7,7,-6.49,1,0.0478,0.0607,1.66e-06,0.244,0.724,101.875,audio_features,3Gf5nttwcX9aaSQXRWidEZ,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/tracks/3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/audio-analysis/3Gf5nttwcX9aaSQXRWidEZ,291782,4
2001,19,Follow Me,Uncle Kracker,0.817,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014,audio_features,4KoecuyOpZaNFZ0UqVsllc,spotify:track:4KoecuyOpZaNFZ0UqVsllc,https://api.spotify.com/v1/tracks/4KoecuyOpZaNFZ0UqVsllc,https://api.spotify.com/v1/audio-analysis/4KoecuyOpZaNFZ0UqVsllc,218440,4
2001,20,Peaches & Cream,112,0.677,0.52,4,-6.255,0,0.334,0.00277,0.0,0.0532,0.768,203.862,audio_features,2SLZ2rX5773RS16mcqBxG7,spotify:track:2SLZ2rX5773RS16mcqBxG7,https://api.spotify.com/v1/tracks/2SLZ2rX5773RS16mcqBxG7,https://api.spotify.com/v1/audio-analysis/2SLZ2rX5773RS16mcqBxG7,193093,4
2001,21,Drive,Incubus,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,audio_features,7nnWIPM5hwE3DaUBkvOIpy,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/tracks/7nnWIPM5hwE3DaUBkvOIpy,https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy,232453,4
2001,22,What Would You Do?,City High,0.733,0.794,7,-6.909,1,0.223,0.259,0.0,0.483,0.832,95.877,audio_features,1tJkic0TURTCXw3rBhYgWu,spotify:track:1tJkic0TURTCXw3rBhYgWu,https://api.spotify.com/v1/tracks/1tJkic0TURTCXw3rBhYgWu,https://api.spotify.com/v1/audio-analysis/1tJkic0TURTCXw3rBhYgWu,175560,4
2001,23,Survivor,Destiny's Child,0.66,0.483,10,-7.718,1,0.0468,0.00103,0.0,0.159,0.107,83.993,audio_features,0Ss50OU9tCozI7JIywkv14,spotify:track:0Ss50OU9tCozI7JIywkv14,https://api.spotify.com/v1/tracks/0Ss50OU9tCozI7JIywkv14,https://api.spotify.com/v1/audio-analysis/0Ss50OU9tCozI7JIywkv14,280013,4
2001,24,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa and Pink",0.754,0.811,5,-3.679,1,0.0561,0.0185,5.18e-06,0.654,0.639,109.902,audio_features,0PSZ9G584Ve27GK6ThlY6P,spotify:track:0PSZ9G584Ve27GK6ThlY6P,https://api.spotify.com/v1/tracks/0PSZ9G584Ve27GK6ThlY6P,https://api.spotify.com/v1/audio-analysis/0PSZ9G584Ve27GK6ThlY6P,267960,4
2001,25,Ms. Jackson,Outkast,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,audio_features,0I3q5fE6wg7LIfHGngUTnV,spotify:track:0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,270507,4
2001,26,Love Don't Cost a Thing,Jennifer Lopez,0.786,0.842,4,-5.115,0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,audio_features,1fgvJXlcZ7uIddMpqsqw0L,spotify:track:1fgvJXlcZ7uIddMpqsqw0L,https://api.spotify.com/v1/tracks/1fgvJXlcZ7uIddMpqsqw0L,https://api.spotify.com/v1/audio-analysis/1fgvJXlcZ7uIddMpqsqw0L,221227,4
2001,27,The Way You Love Me,Faith Hill,0.627,0.716,2,-7.175,1,0.0352,0.127,0.0,0.0344,0.734,101.99,audio_features,6vgN6KGstss0GnBbKlMNK9,spotify:track:6vgN6KGstss0GnBbKlMNK9,https://api.spotify.com/v1/tracks/6vgN6KGstss0GnBbKlMNK9,https://api.spotify.com/v1/audio-analysis/6vgN6KGstss0GnBbKlMNK9,186067,4
2001,28,He Loves U Not,Dream,0.722,0.926,8,-5.849,1,0.209,0.0945,2.7e-06,0.128,0.605,155.898,audio_features,6xUeKifxyG3C9oFYlzPEGs,spotify:track:6xUeKifxyG3C9oFYlzPEGs,https://api.spotify.com/v1/tracks/6xUeKifxyG3C9oFYlzPEGs,https://api.spotify.com/v1/audio-analysis/6xUeKifxyG3C9oFYlzPEGs,226667,4
2001,29,Butterfly,Crazy Town,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,audio_features,4BggEwLhGfrbrl7JBhC8EC,spotify:track:4BggEwLhGfrbrl7JBhC8EC,https://api.spotify.com/v1/tracks/4BggEwLhGfrbrl7JBhC8EC,https://api.spotify.com/v1/audio-analysis/4BggEwLhGfrbrl7JBhC8EC,216733,4
2001,30,Put It on Me,Ja Rule featuring Lil' Mo and Vita,0.831,0.79,1,-4.714,0,0.165,0.0024,0.0,0.0515,0.791,93.136,audio_features,0OvwzS8FX73Bw7ykMRmffU,spotify:track:0OvwzS8FX73Bw7ykMRmffU,https://api.spotify.com/v1/tracks/0OvwzS8FX73Bw7ykMRmffU,https://api.spotify.com/v1/audio-analysis/0OvwzS8FX73Bw7ykMRmffU,262827,4
2001,31,Family Affair,Mary J. Blige,0.911,0.551,8,-3.75,0,0.045,0.133,4.35e-05,0.0863,0.969,92.887,audio_features,3aw9iWUQ3VrPQltgwvN9Xu,spotify:track:3aw9iWUQ3VrPQltgwvN9Xu,https://api.spotify.com/v1/tracks/3aw9iWUQ3VrPQltgwvN9Xu,https://api.spotify.com/v1/audio-analysis/3aw9iWUQ3VrPQltgwvN9Xu,265867,4
2001,32,I Hope You Dance,Lee Ann Womack,0.388,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.276,151.071,audio_features,65B1tEOv5W294uCKbmEcFV,spotify:track:65B1tEOv5W294uCKbmEcFV,https://api.spotify.com/v1/tracks/65B1tEOv5W294uCKbmEcFV,https://api.spotify.com/v1/audio-analysis/65B1tEOv5W294uCKbmEcFV,294533,4
2001,33,South Side,Moby featuring Gwen Stefani,0.657,0.764,10,-4.58,0,0.353,0.00162,0.0,0.186,0.333,163.067,audio_features,4VS68hFMSdb6adNtXIBGIz,spotify:track:4VS68hFMSdb6adNtXIBGIz,https://api.spotify.com/v1/tracks/4VS68hFMSdb6adNtXIBGIz,https://api.spotify.com/v1/audio-analysis/4VS68hFMSdb6adNtXIBGIz,185094,4
2001,34,Don't Tell Me,Madonna,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965,audio_features,7DOtIhTTpPZyjvbO509hSC,spotify:track:7DOtIhTTpPZyjvbO509hSC,https://api.spotify.com/v1/tracks/7DOtIhTTpPZyjvbO509hSC,https://api.spotify.com/v1/audio-analysis/7DOtIhTTpPZyjvbO509hSC,280973,4
2001,35,Get Ur Freak On,Missy Elliott,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,audio_features,6zsk6uF3MxfIeHPlubKBvR,spotify:track:6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/tracks/6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/audio-analysis/6zsk6uF3MxfIeHPlubKBvR,211120,4
2001,36,Crazy,K-Ci & JoJo,0.677,0.648,0,-4.4,1,0.0259,0.0987,0.0,0.554,0.448,116.128,audio_features,3PJivN5BZ2ckFa22igIu4a,spotify:track:3PJivN5BZ2ckFa22igIu4a,https://api.spotify.com/v1/tracks/3PJivN5BZ2ckFa22igIu4a,https://api.spotify.com/v1/audio-analysis/3PJivN5BZ2ckFa22igIu4a,260267,4
2001,37,Fill Me In,Craig David,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,audio_features,0UzsDmdpw0Q14KU4hieQss,spotify:track:0UzsDmdpw0Q14KU4hieQss,https://api.spotify.com/v1/tracks/0UzsDmdpw0Q14KU4hieQss,https://api.spotify.com/v1/audio-analysis/0UzsDmdpw0Q14KU4hieQss,257200,4
2001,38,Someone to Call My Lover,Janet Jackson,0.738,0.914,2,-4.203,1,0.0434,0.144,0.00099,0.182,0.935,127.885,audio_features,43zr9kKkeiQrshvYuvNtfM,spotify:track:43zr9kKkeiQrshvYuvNtfM,https://api.spotify.com/v1/tracks/43zr9kKkeiQrshvYuvNtfM,https://api.spotify.com/v1/audio-analysis/43zr9kKkeiQrshvYuvNtfM,272360,4
2001,39,With Arms Wide Open,Creed,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,audio_features,0eKyHwckh9vQb8ncZ2DXCs,spotify:track:0eKyHwckh9vQb8ncZ2DXCs,https://api.spotify.com/v1/tracks/0eKyHwckh9vQb8ncZ2DXCs,https://api.spotify.com/v1/audio-analysis/0eKyHwckh9vQb8ncZ2DXCs,274800,4
2001,40,Case of the Ex (Whatcha Gonna Do),Mýa,0.774,0.684,1,-4.721,0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,audio_features,1ak0S3NhwWrUgNlQhJ1412,spotify:track:1ak0S3NhwWrUgNlQhJ1412,https://api.spotify.com/v1/tracks/1ak0S3NhwWrUgNlQhJ1412,https://api.spotify.com/v1/audio-analysis/1ak0S3NhwWrUgNlQhJ1412,236827,4
2001,41,All or Nothing,O-Town,0.644,0.473,0,-5.201,1,0.0282,0.205,0.0,0.183,0.252,126.925,audio_features,1TBIHWmr1r34J2s0eSfA7U,spotify:track:1TBIHWmr1r34J2s0eSfA7U,https://api.spotify.com/v1/tracks/1TBIHWmr1r34J2s0eSfA7U,https://api.spotify.com/v1/audio-analysis/1TBIHWmr1r34J2s0eSfA7U,281427,4
2001,42,Bootylicious,Destiny's Child,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,audio_features,41nT1Sp6ChR65FbsdLlFHW,spotify:track:41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/tracks/41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/audio-analysis/41nT1Sp6ChR65FbsdLlFHW,207907,4
2001,43,I'm Like a Bird,Nelly Furtado,0.43,0.561,3,-10.61,1,0.0283,0.14,0.0,0.325,0.617,173.479,audio_features,545ZzHg9GikiYX2sO5sxlJ,spotify:track:545ZzHg9GikiYX2sO5sxlJ,https://api.spotify.com/v1/tracks/545ZzHg9GikiYX2sO5sxlJ,https://api.spotify.com/v1/audio-analysis/545ZzHg9GikiYX2sO5sxlJ,177520,4
2001,44,Kryptonite,3 Doors Down,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.005,audio_features,6ZOBP3NvffbU4SZcrnt1k6,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933,4
2001,45,Fiesta,R. Kelly featuring Jay-Z,0.755,0.909,8,-6.872,0,0.0448,0.00807,0.000377,0.111,0.745,132.964,audio_features,26ffMA2QIHjbQZpBlv6GmA,spotify:track:26ffMA2QIHjbQZpBlv6GmA,https://api.spotify.com/v1/tracks/26ffMA2QIHjbQZpBlv6GmA,https://api.spotify.com/v1/audio-analysis/26ffMA2QIHjbQZpBlv6GmA,152932,4
2001,46,When It's Over,Sugar Ray,0.675,0.775,4,-5.772,1,0.0522,0.0387,0.0,0.383,0.933,99.945,audio_features,5ZsPy9wHH733NlU6c4v2Hi,spotify:track:5ZsPy9wHH733NlU6c4v2Hi,https://api.spotify.com/v1/tracks/5ZsPy9wHH733NlU6c4v2Hi,https://api.spotify.com/v1/audio-analysis/5ZsPy9wHH733NlU6c4v2Hi,217853,4
2001,47,Jaded,Aerosmith,0.518,0.866,9,-4.476,1,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,audio_features,6uhj7EIZZm3OwVr0gWfkQn,spotify:track:6uhj7EIZZm3OwVr0gWfkQn,https://api.spotify.com/v1/tracks/6uhj7EIZZm3OwVr0gWfkQn,https://api.spotify.com/v1/audio-analysis/6uhj7EIZZm3OwVr0gWfkQn,215824,4
